2188,MTA Bus Company,MTABUS,New York,NY,us,http://www.mta.info,"341 Madison Avenue, New York, NY, 10017",8008278,297242039
2189,"BillyBey Ferry Company, LLC",,New York,NY,us,http://www.nywaterway.com,"Pier 79-459 12th Avenue, New York, NY, 10018",2131266,4206276
2190,Port Imperial Ferry Corporation dba NY Waterway,,Weehawken,NJ,us,http://www.nywaterway.com,"4800 Avenue at Port Imperial, Weehawken, NJ, 7086-7142",3658455,18263300
3001,Kanawha Valley Regional Transportation Authority,KVRTA,Charleston,WV,us,http://www.rideonkrt.com,"1550 4th Avenue, Charleston, WV, 25324",195413,14880998
3002,The Tri-State Transit Authority,TTA,Huntington,WV,us,http://www.tta-wv.com,"1120 Virginia Avenue, West, Huntington, WV, 25779",86354,3273289
3003,Mid-Ohio Valley Transit Authority,Easy Rider,Parkersburg,WV,us,http://www.easyriderbus.com,"520 Juliana Street, Parkersburg, WV, 26101-5301",42230,
3006,Greater Richmond Transit Company,GRTC Transit System,Richmond,VA,us,http://www.ridegrtc.com,"101 South Davis Avenue, Richmond, VA, 23220",449572,61249600
3007,Greater Roanoke Transit Company,Valley Metro,Roanoke,VA,us,http://valleymetro.com,"1108 Campbell Avenue, S.E., Roanoke, VA, 24032",94911,11644863
3008,Greater Lynchburg Transit Company,GLTC,Lynchburg,VA,us,http://www.gltconline.com,"1301 Kemper Street, Lynchburg, VA, 24505-797",80846,3760908
3009,Petersburg Area Transit,PAT,Petersburg,VA,us,http://www.petersburg-va.org,"309 Fairgrounds Road, Petersburg, VA, 23803",31300,1090851
3010,Lehigh and Northampton Transportation Authority,LANTA,Allentown,PA,us,http://www.lantabus.com,"1060 Lehigh Street, Allentown, PA, 18103",389000,25211519
3011,Altoona Metro Transit,AMTRAN,Altoona,PA,us,http://www.amtran.org,"3301 Fifth Avenue, Altoona, PA, 16602-1801",69608,1909882
3012,Cambria County Transit Authority,CamTran,Johnstown,PA,us,http://www.camtranbus.com,"726 Central Avenue, Johnstown, PA, 15902-2996",80508,4878763
3013,Erie Metropolitan Transit Authority,EMTA,Erie,PA,us,http://www.emtaerie.com,"127 East 14th Street, Erie, PA, 16512-2057",189872,9920546
3014,Capital Area Transit,CAT,Harrisburg,PA,us,http://www.cattransit.com,"901 North Cameron Street, Harrisburg, PA, 17105",414621,10367342
3015,Luzerne County Transportation Authority,LCTA,Kingston,PA,us,http://www.lctabus.com,"315 Northampton Street, Kingston, PA, 18704-5489",202500,8635605
3018,Red Rose Transit Authority,RRTA,Lancaster,PA,us,http://www.redrosetransit.com,"45 Erick Road, Lancaster, PA, 17601",420920,11929261
3019,Southeastern Pennsylvania Transportation Authority,SEPTA,Philadelphia,PA,us,http://www.septa.org,"1234 Market Street, Philadelphia, PA, 19107-3780",3300407,1531301490
3022,Port Authority of Allegheny County,Port Authority,Pittsburgh,PA,us,http://www.portauthority.org,"345 Sixth Avenue-3rd Floor, Pittsburgh, PA, 15222-2527",1415244,300155077
3023,Beaver County Transit Authority,BCTA,Rochester,PA,us,http://www.bcta.com,"200 West Washington Street, Rochester, PA, 15074-2235",174000,9786504
3024,Berks Area Reading Transportation Authority,BARTA,Reading,PA,us,http://www.bartabus.com,"1700 North 11th Street, Reading, PA, 19604-1599",373638,9940447
3025,County of Lackawanna Transit System,COLTS,Scranton,PA,us,http://www.coltsbus.com,"North South Road, Scranton, PA, 18504-1410",339009,9828003
3026,Williamsport Bureau of Transportation,RVT,Williamsport,PA,us,http://www.rideRVT.com,"1500 West Third Street, Williamsport, PA, 17701",69764,6227367
3027,York County Transportation Authority,rabbittransit,York,PA,us,http://www.rabbittransit.org,"1230 Roosevelt Avenue, York, PA, 17404",381751,8944660
3030,Washington Metropolitan Area Transit Authority,WMATA,Washington,DC,us,http://www.WMATA.com,"600 Fifth Street, N.W., Washington, DC, 20001",1305693,2108517008
3034,Maryland Transit Administration,MTA,Baltimore,MD,us,http://www.mtamaryland.com,"6 St. Paul Street, Baltimore, MD, 21202-1614",2077667,759403876
3035,Ohio Valley Regional Transportation Authority,OVRTA / EORTA,Wheeling,WV,us,http://www.ovrta.org,"21 South Huron Street, Wheeling, WV, 26003",61725,1240577
3036,Charlottesville Transit Service,CTS,Charlottesville,VA,us,http://www.charlottesville.org/transit,"315 Fourth Street, N.W., Charlottesville, VA, 22902",76308,3881357
3040,Annapolis Department of Transportation,Annapolis Transit,Annapolis,MD,us,http://www.annapolis.gov,"308 Chinquapin Round Road, Annapolis, MD, 21401",90000,5197732
3041,Allegany County Transit,ACT,Cumberland,MD,us,http://gov.allconet.org/ACT,"1000 Lafayette Avenue, Cumberland, MD, 21502",68780,2271847
3042,Washington County Transit,County Commuter,Hagerstown,MD,us,http://www.washco-md.net,"1000 West Washington Street, Hagerstown, MD, 21740-5212",44608,1437640
3044,Westmoreland County Transit Authority,WCTA,Greensburg,PA,us,http://www.westmorelandtransit.com/,"41 Bell Way, Greensburg, PA, 15601-2301",296066,6100469
3045,"JAUNT, Inc.",,Charlottesville,VA,us,http://www.ridejaunt.org,"104 Keystone Place, Charlottesville, VA, 22902-6200",200027,2998352
3048,Howard Transit,HT,Laurel,MD,us,http://www.howardtransit.com,"312 Marshall Avenue-Suite 104, Laurel, MD, 20707",97243,7054340
3051,Ride-On Montgomery County Transit,,Rockville,MD,us,http://www.montgomerycountymd.gov,"101 Monroe Street-5th Floor, Rockville, MD, 20850",931000,95686271
3053,Bristol Virginia Transit,BVT,Bristol,VA,us,http://www.bristolva.org,"2107 Shakesville Road, Bristol, VA, 24201",17367,
3054,Centre Area Transportation Authority,CATA,State College,PA,us,http://www.catabus.com,"2081 West Whitehall Road, State College, PA, 16801",83444,16604501
3055,Shenango Valley Shuttle Service,SVSS,Hermitage,PA,us,http://www.mcrcog.com,"2495 Highland Road, Hermitage, PA, 16148",120293,1426637
3057,Pennsylvania Department of Transportation,PENNDOT,Harrisburg,PA,us,http://www.dot.state.pa.us,", Harrisburg, PA, 17105-3151",3100000,36665706
